trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
443,False,"{'a': 0.002, 'e': 0.6340630997018352}",25,1,-38.65013015038655,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 0}",1
444,False,"{'a': 0.002, 'e': 0.6325152699855466}",20,0,-71.06952937553059,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
445,False,"{'a': 0.002, 'e': 0.6309649102090216}",30,0,-120.44722198114202,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
446,False,"{'a': 0.002, 'e': 0.6294120265736969}",20,13,7.11623074745426,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.002, 'e': 0.6278566252911051}",25,16,-37.939873924922935,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
448,False,"{'a': 0.002, 'e': 0.6262987125828494}",25,0,-59.9279181261087,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
449,False,"{'a': 0.002, 'e': 0.6247382946805784}",30,3,-130.44004704835586,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 3}",1
450,False,"{'a': 0.002, 'e': 0.6231753778259617}",25,14,13.944225235999717,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.002, 'e': 0.6216099682706644}",20,0,-13.495492642226674,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
452,False,"{'a': 0.002, 'e': 0.620042072276323}",25,7,-27.201957071556755,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
453,False,"{'a': 0.002, 'e': 0.6184716961145192}",20,0,-16.694845784188704,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
454,False,"{'a': 0.002, 'e': 0.6168988460667556}",20,0,-73.43302719304828,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
455,False,"{'a': 0.002, 'e': 0.6153235284244302}",30,6,-22.376041369639836,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 0}",1
456,False,"{'a': 0.002, 'e': 0.6137457494888116}",20,9,-40.74938673701538,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
457,False,"{'a': 0.002, 'e': 0.6121655155710133}",25,0,-104.2497024115396,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
458,False,"{'a': 0.002, 'e': 0.6105828329919689}",20,0,-55.24600110339555,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
459,False,"{'a': 0.002, 'e': 0.6089977080824067}",35,16,-3.7150877443050074,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
460,False,"{'a': 0.002, 'e': 0.6074101471828242}",20,16,7.734984976958589,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.002, 'e': 0.6058201566434628}",25,13,-3.2265180281362937,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
462,False,"{'a': 0.002, 'e': 0.6042277428242826}",25,16,-26.91552047040257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
463,False,"{'a': 0.002, 'e': 0.6026329120949367}",20,0,7.818662803848754,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
464,False,"{'a': 0.002, 'e': 0.6010356708347461}",20,0,-62.96924738169099,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
465,False,"{'a': 0.002, 'e': 0.5994360254326734}",25,17,2.733400451001096,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
466,False,"{'a': 0.002, 'e': 0.5978339822872982}",25,20,7.305127732102015,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.002, 'e': 0.596229547806791}",20,14,8.081445904731202,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.002, 'e': 0.5946227284088875}",20,0,-34.22722342968894,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
469,False,"{'a': 0.002, 'e': 0.5930135305208633}",25,17,9.080798833334756,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.002, 'e': 0.5914019605795077}",20,0,-2.2640323317825226,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
471,False,"{'a': 0.002, 'e': 0.5897880250310982}",25,0,-62.65938923642723,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
472,False,"{'a': 0.002, 'e': 0.588171730331375}",25,4,-54.50489025699611,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
473,False,"{'a': 0.002, 'e': 0.5865530829455147}",25,3,-14.800759309007422,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
474,False,"{'a': 0.002, 'e': 0.5849320893481047}",20,0,-35.62875270699523,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
475,False,"{'a': 0.002, 'e': 0.5833087560231173}",30,3,-82.8578478333234,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 1}",1
476,False,"{'a': 0.002, 'e': 0.5816830894638835}",25,12,-2.56571858595868,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
477,False,"{'a': 0.002, 'e': 0.5800550961730674}",25,0,-44.14144522795143,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
478,False,"{'a': 0.002, 'e': 0.57842478266264}",20,0,-15.760069930994003,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
479,False,"{'a': 0.002, 'e': 0.5767921554538531}",30,8,-5.5300300977368,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
480,False,"{'a': 0.002, 'e': 0.5751572210772136}",25,0,-131.8394806268262,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
481,False,"{'a': 0.002, 'e': 0.5735199860724567}",30,0,-82.86933665171149,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
482,False,"{'a': 0.002, 'e': 0.5718804569885201}",20,3,-9.676659161136142,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
483,False,"{'a': 0.002, 'e': 0.570238640383518}",20,0,-43.67478606730495,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
484,False,"{'a': 0.002, 'e': 0.5685945428247148}",20,2,15.157554592663757,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
485,False,"{'a': 0.002, 'e': 0.5669481708884984}",20,0,-67.73930458965064,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
486,False,"{'a': 0.002, 'e': 0.5652995311603544}",25,20,10.113786371572,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.002, 'e': 0.5636486302348394}",20,0,-29.81693264840482,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
488,False,"{'a': 0.002, 'e': 0.561995474715555}",30,0,-156.09424616387633,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
489,False,"{'a': 0.002, 'e': 0.5603400712151211}",30,0,-34.171853792745196,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
490,False,"{'a': 0.002, 'e': 0.5586824263551494}",20,4,-36.02541186166644,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
491,False,"{'a': 0.002, 'e': 0.5570225467662173}",25,11,8.634249883947795,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
492,False,"{'a': 0.002, 'e': 0.5553604390878408}",25,11,7.742110224560571,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
493,False,"{'a': 0.002, 'e': 0.5536961099684484}",20,9,-57.40836970883208,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
494,False,"{'a': 0.002, 'e': 0.5520295660653544}",25,20,8.482738093734568,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.002, 'e': 0.5503608140447321}",20,0,-65.18613215275347,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
496,False,"{'a': 0.002, 'e': 0.5486898605815875}",30,0,-43.31720490570856,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
497,False,"{'a': 0.002, 'e': 0.5470167123597323}",20,0,14.59190503055187,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.002, 'e': 0.5453413760717568}",25,0,-129.26252227588816,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
499,False,"{'a': 0.002, 'e': 0.5436638584190042}",20,1,-0.613215593071456,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
500,False,"{'a': 0.002, 'e': 0.5419841661115429}",25,17,-0.5367267373696583,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.002, 'e': 0.5403023058681397}",35,0,-94.54234285106831,"{0: 26, 1: 4, 2: 3, 3: 0, 4: 2}",0
502,False,"{'a': 0.002, 'e': 0.5386182844162335}",20,12,5.517520207845267,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
503,False,"{'a': 0.002, 'e': 0.5369321084919078}",20,0,-59.55982602618324,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
504,False,"{'a': 0.002, 'e': 0.5352437848398639}",20,8,19.814645286907417,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.002, 'e': 0.5335533202133944}",25,0,4.350016275005741,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
506,False,"{'a': 0.002, 'e': 0.5318607213743555}",25,1,-26.29317909297449,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
507,False,"{'a': 0.002, 'e': 0.5301659950931401}",20,0,-24.700561510834316,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
508,False,"{'a': 0.002, 'e': 0.5284691481486513}",30,17,-9.793017653166668,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
509,False,"{'a': 0.002, 'e': 0.5267701873282746}",25,0,-56.87971710972893,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
510,False,"{'a': 0.002, 'e': 0.5250691194278508}",25,0,-57.79573754340887,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
511,False,"{'a': 0.002, 'e': 0.5233659512516495}",25,0,-28.237734412080158,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
512,False,"{'a': 0.002, 'e': 0.521660689612341}",30,5,-50.92295288918177,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",1
